theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.570317,1.570796,-0.153281,-0.000000,0.006250
1.568880,1.570796,-0.306562,-0.000001,0.012500
1.566485,1.570796,-0.459838,-0.000010,0.018750
1.563132,1.570796,-0.613100,-0.000043,0.025000
1.558822,1.570796,-0.766329,-0.000132,0.031250
1.553553,1.570794,-0.919496,-0.000328,0.037500
1.547328,1.570791,-1.072555,-0.000709,0.043750
1.540147,1.570785,-1.225445,-0.001381,0.050000
1.532011,1.570773,-1.378081,-0.002486,0.056250
1.522922,1.570752,-1.530360,-0.004205,0.062500
1.512882,1.570719,-1.682151,-0.006761,0.068750
1.501896,1.570666,-1.833297,-0.010423,0.075000
1.489968,1.570585,-1.983613,-0.015509,0.081250
1.477103,1.570468,-2.132885,-0.022385,0.087500
1.463309,1.570301,-2.280872,-0.031470,0.093750
1.448595,1.570069,-2.427303,-0.043226,0.100000
1.432972,1.569754,-2.571883,-0.058165,0.106250
1.416451,1.569334,-2.714293,-0.076834,0.112500
1.399048,1.568785,-2.854196,-0.099817,0.118750
1.380780,1.568076,-2.991241,-0.127717,0.125000
1.361665,1.567177,-3.125070,-0.161157,0.131250
1.341724,1.566049,-3.255322,-0.200755,0.137500
1.320981,1.564653,-3.381641,-0.247126,0.143750
1.299462,1.562945,-3.503684,-0.300856,0.150000
1.277195,1.560876,-3.621124,-0.362501,0.156250
1.254208,1.558396,-3.733654,-0.432569,0.162500
1.230535,1.555450,-3.840995,-0.511511,0.168750
1.206207,1.551983,-3.942894,-0.599717,0.175000
1.181261,1.547934,-4.039125,-0.697507,0.181250
1.155731,1.543243,-4.129492,-0.805130,0.187500
1.129654,1.537849,-4.213819,-0.922759,0.193750
1.103071,1.531688,-4.291950,-1.050498,0.200000
1.076018,1.524697,-4.363747,-1.188379,0.206250
1.048537,1.516812,-4.429078,-1.336370,0.212500
1.020669,1.507971,-4.487816,-1.494379,0.218750
0.992454,1.498112,-4.539829,-1.662255,0.225000
0.963935,1.487173,-4.584979,-1.839801,0.231250
0.935156,1.475094,-4.623115,-2.026775,0.237500
0.906161,1.461819,-4.654070,-2.222893,0.243750
0.876995,1.447290,-4.677657,-2.427840,0.250000
0.847706,1.431453,-4.693667,-2.641269,0.256250
0.818341,1.414257,-4.701872,-2.862809,0.262500
0.788949,1.395652,-4.702023,-3.092065,0.268750
0.759583,1.375591,-4.693851,-3.328627,0.275000
0.730294,1.354030,-4.677075,-3.572068,0.281250
0.701138,1.330927,-4.651403,-3.821951,0.287500
0.672171,1.306243,-4.616538,-4.077833,0.293750
0.643451,1.279942,-4.572188,-4.339265,0.300000
0.615039,1.251992,-4.518074,-4.605799,0.306250
0.586996,1.222360,-4.453937,-4.876988,0.312500
0.559386,1.191020,-4.379555,-5.152388,0.318750
0.532273,1.157947,-4.294755,-5.431558,0.325000
0.505724,1.123119,-4.199430,-5.714058,0.331250
0.479802,1.086516,-4.093556,-5.999437,0.337500
0.454576,1.048121,-3.977222,-6.287229,0.343750
0.430109,1.007921,-3.850652,-6.576925,0.350000
