theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.563132,1.570796,-0.613096,-0.000048,0.025000
1.540147,1.570785,-1.225438,-0.001390,0.050000
1.501896,1.570666,-1.833287,-0.010436,0.075000
1.448595,1.570069,-2.427294,-0.043240,0.100000
1.380780,1.568076,-2.991233,-0.127726,0.125000
1.299463,1.562944,-3.503680,-0.300856,0.150000
1.206209,1.551981,-3.942891,-0.599708,0.175000
1.103073,1.531684,-4.291946,-1.050483,0.200000
0.992456,1.498107,-4.539822,-1.662237,0.225000
0.876999,1.447285,-4.677652,-2.427817,0.250000
0.759587,1.375586,-4.693858,-3.328596,0.275000
0.643455,1.279937,-4.572219,-4.339216,0.300000
0.532278,1.157943,-4.294830,-5.431476,0.325000
0.430114,1.007918,-3.850798,-6.576775,0.350000
0.341038,0.828933,-3.253775,-7.740923,0.375000
0.268127,0.621271,-2.578337,-8.851833,0.400000
0.211182,0.388309,-2.021813,-9.718958,0.425000
0.163361,0.140202,-1.897052,-10.009805,0.450000
0.111318,-0.105773,-2.350688,-9.557089,0.475000
0.042798,-0.333341,-3.162828,-8.591109,0.500000
-0.047303,-0.533508,-4.038411,-7.400212,0.525000
-0.158251,-0.702672,-4.813915,-6.124881,0.550000
-0.286651,-0.839553,-5.429848,-4.825753,0.575000
-0.428316,-0.944184,-5.875125,-3.554529,0.600000
-0.579005,-1.018077,-6.151750,-2.380159,0.625000
-0.734427,-1.064768,-6.250397,-1.395487,0.650000
-0.889789,-1.090332,-6.141230,-0.706316,0.675000
-1.039521,-1.103165,-5.798994,-0.380794,0.700000
-1.177992,-1.112130,-5.250337,-0.380668,0.725000
-1.300985,-1.123796,-4.575662,-0.571574,0.750000
-1.406422,-1.141123,-3.857239,-0.814474,0.775000
-1.493909,-1.164229,-3.145006,-1.024701,0.800000
-1.563898,-1.191803,-2.459187,-1.169643,0.825000
-1.617120,-1.222145,-1.803339,-1.247304,0.850000
-1.654282,-1.253710,-1.173332,-1.270124,0.875000
-1.675940,-1.285346,-0.561630,-1.256365,0.900000
-1.682441,-1.316389,0.040822,-1.225941,0.925000
-1.673897,-1.346666,0.643480,-1.198054,0.950000
-1.650193,-1.376450,1.254831,-1.188782,0.975000
-1.611038,-1.406339,1.879892,-1.207009,1.000000
-1.556104,-1.436992,2.515751,-1.247196,1.025000
-1.485296,-1.468644,3.145472,-1.279459,1.050000
-1.399162,-1.500408,3.735022,-1.244154,1.075000
-1.299235,-1.529649,4.242417,-1.065545,1.100000
-1.187974,-1.551993,4.639114,-0.686182,1.125000
-1.068232,-1.562148,4.922288,-0.091394,1.150000
-0.942709,-1.554924,5.103387,0.699275,1.175000
-0.813857,-1.525816,5.188419,1.653896,1.200000
-0.684166,-1.471136,5.167458,2.739603,1.225000
-0.556580,-1.388015,5.014688,3.923776,1.250000
-0.434828,-1.274394,4.694511,5.174533,1.275000
-0.323556,-1.128950,4.170988,6.466505,1.300000
-0.228189,-0.950806,3.420008,7.790613,1.325000
-0.154413,-0.739088,2.450359,9.152708,1.350000
-0.106705,-0.493147,1.368468,10.505557,1.375000
-0.083900,-0.216553,0.552972,11.507886,1.400000
-0.071337,0.073303,0.624652,11.480032,1.425000
-0.045162,0.348736,1.559618,10.446648,1.450000
0.008535,0.592998,2.735936,9.076086,1.475000
