theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.448553,1.570185,-2.424038,-0.048001,0.100000
1.103645,1.530819,-4.290395,-1.048215,0.200000
0.644622,1.277960,-4.571163,-4.335759,0.300000
0.271441,0.618766,-2.679554,-8.734996,0.400000
0.020364,-0.306607,-3.204439,-8.456903,0.500000
-0.437593,-0.923994,-5.631468,-3.875448,0.600000
-1.020704,-1.126411,-5.522212,-0.817560,0.700000
-1.456616,-1.214569,-3.022230,-1.174964,0.800000
-1.627662,-1.347965,-0.442574,-1.394768,0.900000
-1.548335,-1.487576,2.033282,-1.411573,1.000000
-1.230122,-1.615794,4.167639,-0.859124,1.100000
-0.761801,-1.568520,4.958950,2.205509,1.200000
-0.301561,-1.116348,3.782423,6.992950,1.300000
-0.118946,-0.146024,0.536260,11.404337,1.400000
0.110428,0.802078,4.415674,6.762041,1.500000
0.662802,1.201088,6.160680,1.419945,1.600000
1.257950,1.187401,5.227774,-0.843576,1.700000
1.640401,1.144674,2.421071,-0.042525,1.800000
1.761483,1.138959,0.059236,-0.195972,1.900000
1.652577,1.104468,-2.290478,-0.381200,2.000000
1.283475,1.105351,-5.146036,0.535481,2.100000
0.677673,1.125961,-6.433912,-0.977196,2.200000
0.099544,0.768214,-4.712793,-6.330498,2.300000
-0.172023,-0.128355,-1.289047,-10.567252,2.400000
-0.406267,-1.026257,-3.752756,-6.662490,2.500000
-0.845736,-1.470177,-4.627441,-2.442524,2.600000
-1.267503,-1.578897,-3.550632,-0.122856,2.700000
-1.516414,-1.562853,-1.324808,0.264943,2.800000
-1.526695,-1.535738,1.121430,0.273335,2.900000
-1.295156,-1.503500,3.433647,0.494557,3.000000
-0.876415,-1.377772,4.679976,2.397191,3.100000
-0.426850,-0.949706,3.966115,6.338371,3.200000
-0.139787,-0.116078,2.338716,9.379390,3.300000
0.213250,0.672021,4.858649,5.850163,3.400000
0.771188,1.039048,5.820081,1.895220,3.500000
1.281646,1.172381,4.038947,1.259237,3.600000
1.552744,1.321830,1.392228,1.670349,3.700000
1.566164,1.492575,-1.110891,1.724635,3.800000
1.335797,1.659653,-3.390696,1.433861,3.900000
0.924354,1.708067,-4.647092,-0.855680,4.000000
0.450139,1.419032,-4.484203,-5.161429,4.100000
0.137099,0.647547,-1.295959,-10.347318,4.200000
0.048401,-0.449738,-1.887111,-9.757665,4.300000
-0.330494,-1.157083,-5.201350,-4.418001,4.400000
-0.898802,-1.342551,-5.812869,0.373344,4.500000
-1.412240,-1.220707,-4.060136,1.381226,4.600000
-1.680879,-1.112797,-1.378355,0.917591,4.700000
-1.699823,-1.011007,0.993760,1.138651,4.800000
-1.472233,-0.907523,3.658069,0.684781,4.900000
-0.944298,-0.934657,6.705489,-0.963141,5.000000
-0.268426,-0.875419,6.210492,2.947256,5.100000
0.212612,-0.302488,3.074159,8.342379,5.200000
0.362955,0.682884,1.117003,9.810225,5.300000
0.600730,1.446487,3.385065,5.471733,5.400000
0.950618,1.815768,3.280288,2.150518,5.500000
1.211053,1.930036,1.782561,0.373993,5.600000
1.288837,1.926307,-0.263357,-0.371185,5.700000
1.161697,1.850560,-2.206170,-1.271158,5.800000
0.874568,1.629691,-3.332532,-3.392965,5.900000
0.554311,1.121897,-2.737466,-6.932885,6.000000
0.363734,0.252056,-1.822048,-9.416662,6.100000
0.011674,-0.509324,-5.255784,-5.357834,6.200000
-0.617085,-0.798906,-6.723328,-1.020856,6.300000
-1.197101,-0.904736,-4.448744,-1.663958,6.400000
-1.491530,-1.130940,-1.490240,-2.672653,6.500000
-1.505178,-1.413753,1.178083,-2.927825,6.600000
-1.272543,-1.695744,3.310774,-2.450937,6.700000
-0.877882,-1.830886,4.466362,0.080533,6.800000
-0.404228,-1.619921,4.727507,4.360946,6.900000
-0.032581,-0.942002,2.057462,9.274805,7.000000
-0.105540,0.284328,-0.996337,12.679415,7.100000
0.087514,1.257603,4.255870,6.986820,7.200000
0.595545,1.689853,5.395941,1.718724,7.300000
1.117479,1.639668,4.934845,-2.401611,7.400000
1.533644,1.324166,3.057825,-3.333173,7.500000
1.697103,1.013823,0.240063,-2.976845,7.600000
1.581991,0.722220,-2.589973,-2.718528,7.700000
1.162696,0.535978,-5.933050,-0.508261,7.800000
0.384798,0.675751,-8.590172,1.526005,7.900000
-0.349000,0.494213,-5.694104,-5.305658,8.000000
-0.669909,-0.309883,-0.579868,-10.382578,8.100000
-0.682565,-1.313144,-0.695711,-8.419598,8.200000
-0.823602,-1.977040,-1.739255,-5.140959,8.300000
-0.966421,-2.384521,-0.901225,-3.161495,8.400000
-0.975491,-2.629763,0.807548,-1.762289,8.500000
-0.792852,-2.721438,2.887186,0.116050,8.600000
-0.396457,-2.550833,4.932075,3.583788,8.700000
0.130025,-1.976734,4.994080,7.744896,8.800000
0.447768,-1.076878,0.729541,10.137767,8.900000
0.111049,0.223652,-5.522953,14.291711,9.000000
-0.139983,1.373701,0.760513,8.669893,9.100000
0.088104,2.116921,3.271515,6.213454,9.200000
0.416386,2.598544,2.935310,3.411639,9.300000
0.629059,2.815225,1.203360,1.029503,9.400000
0.647797,2.820692,-0.830238,-0.904898,9.500000
0.470854,2.623295,-2.607235,-3.139970,9.600000
0.165941,2.174606,-3.162510,-5.855103,9.700000
-0.070195,1.463629,-1.064371,-8.377152,9.800000
0.081750,0.415126,4.584517,-13.495495,9.900000
0.322032,-0.702141,-0.332479,-8.049421,10.000000
0.115617,-1.328071,-3.293803,-4.527822,10.100000
-0.253002,-1.589407,-3.806097,-0.675699,10.200000
-0.623667,-1.473363,-3.636131,2.936007,10.300000
-0.989572,-1.021646,-3.360226,5.560437,10.400000
-1.176013,-0.520568,-0.132107,4.174743,10.500000
-1.026518,-0.179633,3.077654,2.500733,10.600000
-0.561854,-0.087185,6.248236,-0.994412,10.700000
0.142578,-0.274982,6.895383,-1.283852,10.800000
0.690211,-0.158031,3.972363,3.396336,10.900000
0.909552,0.336873,0.279677,6.321933,11.000000
0.761970,1.067713,-2.445795,7.369660,11.100000
