theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.569570,1.570796,-0.245250,-0.000000,0.010000
1.565891,1.570796,-0.490492,-0.000014,0.020000
1.559760,1.570796,-0.735687,-0.000108,0.030000
1.551178,1.570793,-0.980736,-0.000453,0.040000
1.540147,1.570785,-1.225444,-0.001381,0.050000
1.526671,1.570762,-1.469499,-0.003431,0.060000
1.510761,1.570710,-1.712437,-0.007396,0.070000
1.492428,1.570604,-1.953625,-0.014361,0.080000
1.471697,1.570408,-2.192249,-0.025729,0.090000
1.448595,1.570069,-2.427303,-0.043227,0.100000
1.423166,1.569516,-2.657610,-0.068882,0.110000
1.395463,1.568657,-2.881845,-0.104984,0.120000
1.365554,1.567374,-3.098579,-0.153996,0.130000
1.333522,1.565525,-3.306341,-0.218457,0.140000
1.299462,1.562945,-3.503684,-0.300856,0.150000
1.263487,1.559441,-3.689250,-0.403501,0.160000
1.225721,1.554800,-3.861817,-0.528400,0.170000
1.186298,1.548793,-4.020342,-0.677169,0.180000
1.145364,1.541173,-4.163956,-0.850973,0.190000
1.103071,1.531688,-4.291950,-1.050497,0.200000
1.059579,1.520077,-4.403730,-1.275965,0.210000
1.015052,1.506083,-4.498760,-1.527170,0.220000
0.969661,1.489450,-4.576505,-1.803529,0.230000
0.923581,1.469931,-4.636369,-2.104141,0.240000
0.876996,1.447290,-4.677657,-2.427839,0.250000
0.830093,1.421302,-4.699542,-2.773244,0.260000
0.783073,1.391758,-4.701063,-3.138806,0.270000
0.736143,1.358464,-4.681133,-3.522849,0.280000
0.689525,1.321245,-4.638577,-3.923608,0.290000
0.643451,1.279942,-4.572189,-4.339263,0.300000
0.598165,1.234416,-4.480810,-4.767980,0.310000
0.553922,1.184545,-4.363434,-5.207933,0.320000
0.510985,1.130226,-4.219341,-5.657311,0.330000
0.469625,1.071374,-4.048272,-6.114289,0.340000
0.430109,1.007921,-3.850655,-6.576921,0.350000
0.392696,0.939824,-3.627923,-7.042916,0.360000
0.357625,0.867062,-3.382937,-7.509230,0.370000
0.325095,0.789653,-3.120573,-7.971401,0.380000
0.295246,0.707670,-2.848484,-8.422575,0.390000
0.268121,0.621272,-2.577963,-8.852267,0.400000
0.243630,0.530747,-2.324660,-9.245157,0.410000
0.221504,0.436560,-2.108546,-9.580664,0.420000
0.201260,0.339406,-1.952227,-9.834476,0.430000
0.182188,0.240223,-1.876955,-9.982980,0.440000
0.163401,0.140154,-1.896986,-10.009904,0.450000
0.143920,0.040443,-2.014864,-9.911981,0.460000
0.122809,-0.057704,-2.220578,-9.699928,0.470000
0.099278,-0.153242,-2.495159,-9.394039,0.480000
0.072751,-0.245349,-2.816291,-9.017484,0.490000
0.042868,-0.333426,-3.162982,-8.591019,0.500000
0.009464,-0.417057,-3.517993,-8.130619,0.510000
-0.027476,-0.495963,-3.868371,-7.647432,0.520000
-0.067857,-0.569955,-4.204967,-7.148863,0.530000
-0.111509,-0.638905,-4.521646,-6.639869,0.540000
-0.158211,-0.702729,-4.814524,-6.124060,0.550000
-0.207712,-0.761374,-5.081352,-5.604483,0.560000
-0.259747,-0.814816,-5.321033,-5.084133,0.570000
-0.314041,-0.863065,-5.533242,-4.566262,0.580000
