theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.568880,1.570796,-0.306562,-0.000002,0.012500
1.563132,1.570796,-0.613100,-0.000044,0.025000
1.553553,1.570794,-0.919496,-0.000328,0.037500
1.540147,1.570785,-1.225444,-0.001381,0.050000
1.522922,1.570752,-1.530359,-0.004206,0.062500
1.501896,1.570666,-1.833296,-0.010424,0.075000
1.477103,1.570468,-2.132885,-0.022386,0.087500
1.448595,1.570069,-2.427303,-0.043227,0.100000
1.416451,1.569334,-2.714293,-0.076835,0.112500
1.380780,1.568076,-2.991241,-0.127718,0.125000
1.341724,1.566049,-3.255321,-0.200756,0.137500
1.299462,1.562945,-3.503684,-0.300856,0.150000
1.254209,1.558396,-3.733654,-0.432568,0.162500
1.206207,1.551983,-3.942893,-0.599716,0.175000
1.155731,1.543243,-4.129492,-0.805129,0.187500
1.103071,1.531688,-4.291950,-1.050497,0.200000
1.048537,1.516812,-4.429078,-1.336369,0.212500
0.992454,1.498111,-4.539828,-1.662254,0.225000
0.935156,1.475094,-4.623115,-2.026773,0.237500
0.876996,1.447290,-4.677657,-2.427838,0.250000
0.818341,1.414257,-4.701872,-2.862807,0.262500
0.759583,1.375591,-4.693852,-3.328625,0.275000
0.701138,1.330927,-4.651404,-3.821949,0.287500
0.643451,1.279942,-4.572190,-4.339262,0.300000
0.586996,1.222360,-4.453940,-4.876984,0.312500
0.532274,1.157947,-4.294760,-5.431553,0.325000
0.479803,1.086516,-4.093563,-5.999430,0.337500
0.430109,1.007921,-3.850661,-6.576916,0.350000
0.383700,0.922071,-3.568619,-7.159601,0.362500
0.341032,0.828935,-3.253534,-7.741182,0.375000
0.302453,0.728588,-2.916883,-8.311298,0.387500
0.268121,0.621272,-2.577976,-8.852251,0.400000
0.237892,0.507520,-2.266298,-9.335306,0.412500
0.211186,0.388301,-2.021499,-9.719335,0.425000
0.186891,0.265150,-1.887225,-9.956802,0.437500
0.163399,0.140156,-1.896985,-10.009905,0.450000
0.138827,0.015718,-2.058684,-9.868990,0.462500
0.111385,-0.105853,-2.350637,-9.557260,0.475000
0.079684,-0.222677,-2.732838,-9.117045,0.487500
0.042865,-0.333423,-3.162970,-8.591032,0.500000
0.000556,-0.437232,-3.606422,-8.011636,0.512500
-0.047248,-0.533580,-4.038816,-7.399744,0.525000
-0.100302,-0.622144,-4.444564,-6.767915,0.537500
-0.158212,-0.702728,-4.814498,-6.124097,0.550000
-0.220495,-0.775222,-5.143813,-5.474389,0.562500
-0.286629,-0.839588,-5.430542,-4.824715,0.575000
-0.356079,-0.895867,-5.674409,-4.181731,0.587500
-0.428313,-0.944191,-5.875894,-3.553285,0.600000
-0.502802,-0.984798,-6.035410,-2.948672,0.612500
-0.579022,-1.018052,-6.152565,-2.378778,0.625000
-0.656433,-1.044464,-6.225605,-1.856052,0.637500
-0.734464,-1.064707,-6.251194,-1.394109,0.650000
-0.812496,-1.079628,-6.224805,-1.006601,0.662500
-0.889848,-1.090232,-6.141900,-0.705145,0.675000
-0.965796,-1.097645,-5.999783,-0.496498,0.687500
-1.039599,-1.103030,-5.799460,-0.379982,0.700000
-1.110562,-1.107492,-5.546546,-0.346539,0.712500
-1.178083,-1.111974,-5.250596,-0.380238,0.725000
-1.241696,-1.117197,-4.923188,-0.461639,0.737500
-1.301080,-1.123633,-4.575742,-0.571478,0.750000
-1.356047,-1.131533,-4.217964,-0.693299,0.762500
-1.406517,-1.140963,-3.857196,-0.814611,0.775000
-1.452486,-1.151860,-3.498466,-0.926888,0.787500
-1.494000,-1.164075,-3.144898,-1.024962,0.800000
-1.531137,-1.177414,-2.798191,-1.106234,0.812500
-1.563987,-1.191658,-2.459053,-1.169950,0.825000
-1.592645,-1.206591,-2.127525,-1.216626,0.837500
-1.617205,-1.222008,-1.803202,-1.247613,0.850000
-1.637752,-1.237724,-1.485391,-1.264800,0.862500
-1.654363,-1.253580,-1.173202,-1.270409,0.875000
-1.667101,-1.269446,-0.865613,-1.266848,0.887500
-1.676018,-1.285223,-0.561513,-1.256615,0.900000
-1.681149,-1.300844,-0.259732,-1.242227,0.912500
-1.682516,-1.316272,0.040924,-1.226155,0.925000
-1.680125,-1.331501,0.341646,-1.210763,0.937500
-1.673970,-1.346553,0.643570,-1.198235,0.950000
-1.664027,-1.361477,0.947718,-1.190470,0.962500
-1.650264,-1.376341,1.254913,-1.188943,0.975000
-1.632639,-1.391230,1.565658,-1.194516,0.987500
-1.611107,-1.406233,1.879979,-1.207175,1.000000
-1.585627,-1.421434,2.197226,-1.225719,1.012500
-1.556171,-1.436890,2.515861,-1.247402,1.025000
-1.522736,-1.452613,2.833260,-1.267619,1.037500
-1.485360,-1.468547,3.145627,-1.279744,1.050000
-1.444136,-1.484538,3.448113,-1.275290,1.062500
-1.399221,-1.500320,3.735235,-1.244543,1.075000
-1.350842,-1.515501,4.001589,-1.177663,1.087500
-1.299287,-1.529574,4.242690,-1.066040,1.100000
-1.244892,-1.541939,4.455651,-0.903471,1.112500
-1.188018,-1.551935,4.639438,-0.686768,1.125000
-1.129026,-1.558881,4.794600,-0.415638,1.137500
-1.068266,-1.562107,4.922642,-0.092030,1.150000
-1.006066,-1.560977,5.025269,0.280724,1.162500
-0.942735,-1.554901,5.103749,0.698636,1.175000
-0.878571,-1.543340,5.158480,1.157537,1.187500
-0.813874,-1.525809,5.188778,1.653288,1.200000
-0.748960,-1.501871,5.192838,2.181811,1.212500
-0.684174,-1.471144,5.167816,2.739043,1.225000
-0.619902,-1.433293,5.110001,3.320895,1.237500
-0.556579,-1.388036,5.015047,3.923274,1.250000
-0.494700,-1.335142,4.878249,4.542210,1.262500
-0.434817,-1.274427,4.694867,5.174097,1.275000
-0.377541,-1.205748,4.460469,5.816024,1.287500
-0.323534,-1.128992,4.171322,6.466145,1.300000
-0.273497,-1.044062,3.824850,7.123974,1.312500
-0.228155,-0.950857,3.420277,7.790359,1.325000
-0.188224,-0.849261,2.959742,8.466715,1.337500
-0.154366,-0.739148,2.450458,9.152668,1.350000
-0.127100,-0.620433,1.908920,9.840674,1.362500
-0.106644,-0.493220,1.368227,10.505943,1.375000
-0.092650,-0.358105,0.887337,11.092634,1.387500
-0.083852,-0.216616,0.552732,11.508179,1.400000
-0.077843,-0.071546,0.452799,11.651861,1.412500
-0.071383,0.073348,0.624140,11.480755,1.425000
-0.061282,0.214362,1.022729,11.045817,1.437500
-0.045243,0.348817,1.558632,10.448126,1.450000
-0.022098,0.475258,2.148137,9.775089,1.462500
0.008447,0.593095,2.735446,9.077039,1.475000
0.046147,0.702170,3.289398,8.375040,1.487500
0.090476,0.802479,3.794345,7.674610,1.500000
0.140771,0.894040,4.243354,6.975254,1.512500
0.196318,0.976858,4.634403,6.275441,1.525000
0.256393,1.050922,4.968443,5.574726,1.537500
0.320303,1.116227,5.248379,4.874386,1.550000
0.387395,1.172795,5.478404,4.177364,1.562500
0.457076,1.220693,5.663458,3.487954,1.575000
0.528815,1.260048,5.808676,2.811481,1.587500
0.602146,1.291059,5.918809,2.154112,1.600000
0.676655,1.314009,5.997604,1.522902,1.612500
0.751965,1.329275,6.047145,0.926073,1.625000
0.827711,1.337345,6.067210,0.373469,1.637500
0.903510,1.338845,6.054796,-0.123070,1.650000
0.978922,1.334559,6.004125,-0.549896,1.662500
1.053422,1.325447,5.907596,-0.892991,1.675000
1.126390,1.312631,5.758017,-1.141112,1.687500
1.197135,1.297334,5.551748,-1.290083,1.700000
1.264957,1.280769,5.291303,-1.346105,1.712500
1.329229,1.264002,4.985694,-1.325678,1.725000
1.389466,1.247850,4.648122,-1.251662,1.737500
1.445357,1.232834,4.292464,-1.147723,1.750000
1.496752,1.219197,3.930493,-1.033985,1.762500
1.543629,1.206963,3.570665,-0.925131,1.775000
1.586050,1.196009,3.218195,-0.830494,1.787500
1.624126,1.186120,2.875750,-0.755114,1.800000
1.657989,1.177042,2.544233,-0.700979,1.812500
1.687776,1.168507,2.223438,-0.668067,1.825000
1.713616,1.160257,1.912508,-0.655114,1.837500
1.735625,1.152055,1.610234,-0.660119,1.850000
1.753902,1.143689,1.315233,-0.680669,1.862500
1.768530,1.134984,1.026054,-0.714132,1.875000
1.779572,1.125794,0.741236,-0.757765,1.887500
1.787073,1.116009,0.459338,-0.808778,1.900000
1.791062,1.105555,0.178955,-0.864353,1.912500
1.791548,1.094393,-0.101276,-0.921656,1.925000
1.788525,1.082519,-0.382674,-0.977830,1.937500
1.781971,1.069964,-0.666513,-1.029982,1.950000
1.771847,1.056798,-0.954028,-1.075168,1.962500
1.758099,1.043126,-1.246421,-1.110381,1.975000
1.740661,1.029093,-1.544870,-1.132536,1.987500
1.719448,1.014881,-1.850541,-1.138464,2.000000
1.694362,1.000712,-2.164606,-1.124916,2.012500
1.665293,0.986853,-2.488259,-1.088583,2.025000
1.632111,0.973607,-2.822731,-1.026140,2.037500
1.594674,0.961321,-3.169291,-0.934343,2.050000
1.552823,0.950383,-3.529210,-0.810204,2.062500
1.506383,0.941211,-3.903649,-0.651305,2.075000
1.455168,0.934251,-4.293410,-0.456364,2.087500
1.398984,0.929950,-4.698419,-0.226194,2.100000
1.337651,0.928725,-5.116789,0.034697,2.112500
1.271029,0.930902,-5.543294,0.315674,2.125000
1.199078,0.936620,-5.967264,0.596794,2.137500
