theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.540146,1.570787,-1.225339,-0.001534,0.050000
1.448594,1.570074,-2.427129,-0.043473,0.100000
1.299472,1.562933,-3.503589,-0.300907,0.150000
1.103107,1.531629,-4.291837,-1.050328,0.200000
0.877052,1.447196,-4.677473,-2.427601,0.250000
0.643529,1.279835,-4.572478,-4.338657,0.300000
0.430219,1.007827,-3.852715,-6.574755,0.350000
0.268278,0.621174,-2.584464,-8.844658,0.400000
0.163001,0.140671,-1.899764,-10.006335,0.450000
0.041735,-0.332103,-3.168913,-8.581393,0.500000
-0.159249,-0.701285,-4.810279,-6.127995,0.550000
-0.428968,-0.943113,-5.865886,-3.567571,0.600000
-0.734542,-1.064536,-6.237403,-1.416773,0.650000
-1.038849,-1.104284,-5.786463,-0.402163,0.700000
-1.299726,-1.125910,-4.566537,-0.586349,0.750000
-1.492319,-1.166845,-3.139099,-1.033070,0.800000
-1.615265,-1.225112,-1.798033,-1.254089,0.850000
-1.673803,-1.288678,-0.555512,-1.264504,0.900000
-1.671417,-1.350474,0.651125,-1.208974,0.950000
-1.608135,-1.410767,1.888642,-1.219866,1.000000
-1.481974,-1.473678,3.151587,-1.287625,1.050000
-1.295828,-1.534703,4.240024,-1.058274,1.100000
-1.065191,-1.566331,4.912254,-0.068467,1.150000
-0.811375,-1.528637,5.175967,1.683358,1.200000
-0.554764,-1.389318,5.000016,3.954070,1.250000
-0.322633,-1.128783,4.151777,6.494846,1.300000
-0.154756,-0.737492,2.427429,9.177420,1.350000
-0.085794,-0.213279,0.543475,11.514704,1.400000
-0.044319,0.348780,1.598799,10.387364,1.450000
0.092483,0.800230,3.809865,7.634481,1.500000
0.322611,1.112152,5.249488,4.844184,1.550000
0.604332,1.285708,5.913431,2.136401,1.600000
0.905326,1.333058,6.042433,-0.119667,1.650000
1.197895,1.292677,5.526011,-1.257448,1.700000
1.444533,1.230356,4.259729,-1.101830,1.750000
1.621795,1.185723,2.846717,-0.715528,1.800000
1.731897,1.153526,1.582825,-0.623859,1.850000
1.781962,1.119326,0.431239,-0.770535,1.900000
1.775408,1.075340,-0.696618,-0.985139,1.950000
1.711306,1.022749,-1.883864,-1.082861,2.000000
1.584749,0.972301,-3.207666,-0.865449,2.050000
1.386995,0.944632,-4.740525,-0.152897,2.100000
1.108195,0.963164,-6.380482,0.853174,2.150000
0.763076,1.006777,-7.199088,0.516194,2.200000
0.410334,0.977537,-6.769331,-1.898960,2.250000
0.096348,0.807637,-5.686415,-4.913856,2.300000
-0.145825,0.488281,-3.872780,-7.822526,2.350000
-0.279880,0.029366,-1.498966,-10.421296,2.400000
-0.323029,-0.518250,-0.728082,-10.888910,2.450000
-0.396062,-1.008685,-2.296047,-8.572106,2.500000
-0.544826,-1.377071,-3.525338,-6.210836,2.550000
-0.735224,-1.634609,-3.972166,-4.142141,2.600000
-0.931932,-1.797232,-3.814447,-2.430629,2.650000
-1.110061,-1.885171,-3.257699,-1.163987,2.700000
-1.253327,-1.921249,-2.436736,-0.349272,2.750000
-1.350733,-1.926264,-1.435857,0.099046,2.800000
-1.395180,-1.915002,-0.331512,0.329135,2.850000
-1.383510,-1.894191,0.795133,0.508756,2.900000
-1.316687,-1.862219,1.860368,0.802547,2.950000
-1.199974,-1.809371,2.775548,1.368326,3.000000
-1.043216,-1.718702,3.445529,2.330516,3.050000
-0.861364,-1.568836,3.758363,3.735729,3.100000
-0.675713,-1.338457,3.574300,5.535924,3.150000
-0.514053,-1.010567,2.804745,7.603602,3.200000
-0.399376,-0.580452,1.866881,9.448352,3.250000
-0.301378,-0.100206,2.368867,9.346632,3.300000
-0.138970,0.320384,4.184383,7.308711,3.350000
0.112458,0.622156,5.779767,4.728619,3.400000
0.428142,0.793721,6.725575,2.211720,3.450000
0.770061,0.860569,6.764468,0.731425,3.500000
1.084338,0.897886,5.660231,0.978503,3.550000
1.328625,0.968043,4.095018,1.822347,3.600000
1.494906,1.075003,2.575595,2.394413,3.650000
1.588179,1.201958,1.172498,2.642028,3.700000
1.613429,1.336578,-0.154472,2.730630,3.750000
1.573204,1.474791,-1.448983,2.796653,3.800000
1.469895,1.614856,-2.654285,2.765028,3.850000
1.312348,1.743909,-3.594889,2.301150,3.900000
1.115187,1.834649,-4.255880,1.231427,3.950000
0.889370,1.857971,-4.752123,-0.384055,4.000000
0.643202,1.788114,-5.044034,-2.483197,4.050000
0.392667,1.603837,-4.867479,-4.924262,4.100000
0.170963,1.294371,-3.828294,-7.454864,4.150000
