theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.570677,1.570796,-0.076641,-0.000000,0.003125
1.570317,1.570796,-0.153281,-0.000000,0.006250
1.569719,1.570796,-0.229922,-0.000000,0.009375
1.568880,1.570796,-0.306562,-0.000001,0.012500
1.567803,1.570796,-0.383201,-0.000004,0.015625
1.566485,1.570796,-0.459838,-0.000010,0.018750
1.564929,1.570796,-0.536471,-0.000022,0.021875
1.563132,1.570796,-0.613100,-0.000043,0.025000
1.561097,1.570796,-0.689720,-0.000078,0.028125
1.558822,1.570796,-0.766329,-0.000132,0.031250
1.556307,1.570795,-0.842923,-0.000212,0.034375
1.553553,1.570794,-0.919496,-0.000328,0.037500
1.550560,1.570793,-0.996043,-0.000489,0.040625
1.547328,1.570791,-1.072555,-0.000709,0.043750
1.543857,1.570789,-1.149026,-0.001000,0.046875
1.540147,1.570785,-1.225445,-0.001381,0.050000
1.536198,1.570780,-1.301800,-0.001869,0.053125
1.532011,1.570773,-1.378081,-0.002486,0.056250
1.527585,1.570764,-1.454273,-0.003256,0.059375
1.522922,1.570752,-1.530360,-0.004205,0.062500
1.518020,1.570738,-1.606325,-0.005363,0.065625
1.512882,1.570719,-1.682151,-0.006761,0.068750
1.507507,1.570695,-1.757815,-0.008435,0.071875
1.501896,1.570666,-1.833297,-0.010423,0.075000
1.496049,1.570630,-1.908571,-0.012766,0.078125
1.489968,1.570585,-1.983613,-0.015509,0.081250
1.483652,1.570532,-2.058394,-0.018698,0.084375
1.477103,1.570468,-2.132885,-0.022385,0.087500
1.470322,1.570392,-2.207056,-0.026623,0.090625
1.463309,1.570301,-2.280872,-0.031470,0.093750
1.456067,1.570194,-2.354300,-0.036983,0.096875
1.448595,1.570069,-2.427303,-0.043226,0.100000
1.440897,1.569923,-2.499844,-0.050264,0.103125
1.432972,1.569754,-2.571883,-0.058165,0.106250
1.424823,1.569559,-2.643380,-0.066997,0.109375
1.416451,1.569334,-2.714293,-0.076834,0.112500
1.407859,1.569077,-2.784580,-0.087749,0.115625
1.399048,1.568785,-2.854196,-0.099816,0.118750
1.390021,1.568452,-2.923098,-0.113114,0.121875
1.380780,1.568076,-2.991241,-0.127717,0.125000
1.371327,1.567653,-3.058580,-0.143706,0.128125
1.361665,1.567177,-3.125070,-0.161156,0.131250
1.351796,1.566644,-3.190665,-0.180147,0.134375
1.341724,1.566049,-3.255322,-0.200755,0.137500
1.331451,1.565387,-3.318995,-0.223057,0.140625
1.320981,1.564653,-3.381641,-0.247126,0.143750
1.310317,1.563841,-3.443218,-0.273035,0.146875
1.299462,1.562945,-3.503685,-0.300856,0.150000
1.288420,1.561958,-3.562999,-0.330657,0.153125
1.277195,1.560876,-3.621124,-0.362501,0.156250
1.265790,1.559691,-3.678021,-0.396453,0.159375
1.254208,1.558396,-3.733654,-0.432569,0.162500
1.242456,1.556985,-3.787989,-0.470905,0.165625
1.230535,1.555450,-3.840995,-0.511511,0.168750
1.218451,1.553785,-3.892639,-0.554434,0.171875
1.206207,1.551983,-3.942894,-0.599717,0.175000
1.193809,1.550035,-3.991731,-0.647397,0.178125
1.181261,1.547934,-4.039125,-0.697508,0.181250
1.168566,1.545673,-4.085053,-0.750077,0.184375
1.155731,1.543243,-4.129492,-0.805130,0.187500
1.142758,1.540638,-4.172420,-0.862686,0.190625
1.129654,1.537849,-4.213819,-0.922759,0.193750
1.116424,1.534868,-4.253668,-0.985361,0.196875
1.103071,1.531688,-4.291950,-1.050498,0.200000
1.089601,1.528300,-4.328649,-1.118171,0.203125
1.076018,1.524697,-4.363747,-1.188379,0.206250
1.062329,1.520870,-4.397229,-1.261116,0.209375
1.048537,1.516812,-4.429078,-1.336370,0.212500
1.034649,1.512515,-4.459279,-1.414131,0.215625
1.020669,1.507971,-4.487816,-1.494379,0.218750
1.006602,1.503173,-4.514671,-1.577095,0.221875
0.992454,1.498112,-4.539829,-1.662255,0.225000
0.978230,1.492781,-4.563271,-1.749834,0.228125
0.963935,1.487173,-4.584979,-1.839801,0.231250
0.949575,1.481280,-4.604934,-1.932127,0.234375
0.935156,1.475094,-4.623115,-2.026775,0.237500
0.920683,1.468610,-4.639502,-2.123710,0.240625
0.906161,1.461819,-4.654070,-2.222893,0.243750
0.891597,1.454715,-4.666797,-2.324284,0.246875
0.876995,1.447290,-4.677657,-2.427840,0.250000
0.862363,1.439538,-4.686623,-2.533517,0.253125
0.847706,1.431453,-4.693667,-2.641269,0.256250
0.833030,1.423028,-4.698760,-2.751049,0.259375
0.818341,1.414257,-4.701872,-2.862809,0.262500
