theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.570794,1.570796,-0.009810,-0.000000,0.000400
1.570788,1.570796,-0.019620,-0.000000,0.000800
1.570779,1.570796,-0.029430,-0.000000,0.001200
1.570765,1.570796,-0.039240,-0.000000,0.001600
1.570747,1.570796,-0.049050,-0.000000,0.002000
1.570726,1.570796,-0.058860,-0.000000,0.002400
1.570700,1.570796,-0.068670,-0.000000,0.002800
1.570671,1.570796,-0.078480,-0.000000,0.003200
1.570637,1.570796,-0.088290,-0.000000,0.003600
1.570600,1.570796,-0.098100,-0.000000,0.004000
1.570559,1.570796,-0.107910,-0.000000,0.004400
1.570514,1.570796,-0.117720,-0.000000,0.004800
1.570465,1.570796,-0.127530,-0.000000,0.005200
1.570412,1.570796,-0.137340,-0.000000,0.005600
1.570355,1.570796,-0.147150,-0.000000,0.006000
1.570294,1.570796,-0.156960,-0.000000,0.006400
1.570229,1.570796,-0.166770,-0.000000,0.006800
1.570161,1.570796,-0.176580,-0.000000,0.007200
1.570088,1.570796,-0.186390,-0.000000,0.007600
1.570012,1.570796,-0.196200,-0.000000,0.008000
1.569931,1.570796,-0.206010,-0.000000,0.008400
1.569847,1.570796,-0.215820,-0.000000,0.008800
1.569758,1.570796,-0.225630,-0.000000,0.009200
1.569666,1.570796,-0.235440,-0.000000,0.009600
1.569570,1.570796,-0.245250,-0.000000,0.010000
1.569470,1.570796,-0.255060,-0.000001,0.010400
1.569366,1.570796,-0.264870,-0.000001,0.010800
1.569258,1.570796,-0.274680,-0.000001,0.011200
1.569146,1.570796,-0.284489,-0.000001,0.011600
1.569031,1.570796,-0.294299,-0.000001,0.012000
1.568911,1.570796,-0.304109,-0.000001,0.012400
1.568787,1.570796,-0.313919,-0.000002,0.012800
1.568660,1.570796,-0.323729,-0.000002,0.013200
1.568528,1.570796,-0.333539,-0.000002,0.013600
1.568393,1.570796,-0.343349,-0.000002,0.014000
1.568254,1.570796,-0.353158,-0.000003,0.014400
1.568110,1.570796,-0.362968,-0.000003,0.014800
1.567963,1.570796,-0.372778,-0.000004,0.015200
1.567812,1.570796,-0.382588,-0.000004,0.015600
1.567657,1.570796,-0.392397,-0.000005,0.016000
1.567498,1.570796,-0.402207,-0.000005,0.016400
1.567335,1.570796,-0.412017,-0.000006,0.016800
1.567169,1.570796,-0.421826,-0.000007,0.017200
1.566998,1.570796,-0.431636,-0.000007,0.017600
1.566823,1.570796,-0.441445,-0.000008,0.018000
1.566645,1.570796,-0.451255,-0.000009,0.018400
1.566462,1.570796,-0.461064,-0.000010,0.018800
1.566276,1.570796,-0.470873,-0.000012,0.019200
1.566086,1.570796,-0.480683,-0.000013,0.019600
1.565891,1.570796,-0.490492,-0.000014,0.020000
1.565693,1.570796,-0.500301,-0.000016,0.020400
1.565491,1.570796,-0.510110,-0.000017,0.020800
1.565285,1.570796,-0.519919,-0.000019,0.021200
1.565075,1.570796,-0.529728,-0.000021,0.021600
1.564861,1.570796,-0.539537,-0.000023,0.022000
1.564644,1.570796,-0.549345,-0.000025,0.022400
1.564422,1.570796,-0.559154,-0.000027,0.022800
1.564196,1.570796,-0.568963,-0.000030,0.023200
1.563967,1.570796,-0.578771,-0.000032,0.023600
1.563733,1.570796,-0.588579,-0.000035,0.024000
1.563496,1.570796,-0.598388,-0.000038,0.024400
1.563254,1.570796,-0.608196,-0.000042,0.024800
1.563009,1.570796,-0.618004,-0.000045,0.025200
1.562760,1.570796,-0.627812,-0.000049,0.025600
1.562507,1.570796,-0.637619,-0.000053,0.026000
1.562250,1.570796,-0.647427,-0.000057,0.026400
1.561989,1.570796,-0.657234,-0.000061,0.026800
1.561724,1.570796,-0.667042,-0.000066,0.027200
1.561455,1.570796,-0.676849,-0.000071,0.027600
1.561183,1.570796,-0.686656,-0.000076,0.028000
1.560906,1.570796,-0.696462,-0.000082,0.028400
1.560626,1.570796,-0.706269,-0.000088,0.028800
1.560341,1.570796,-0.716075,-0.000094,0.029200
1.560053,1.570796,-0.725881,-0.000101,0.029600
1.559760,1.570796,-0.735687,-0.000108,0.030000
1.559464,1.570796,-0.745493,-0.000115,0.030400
1.559164,1.570796,-0.755298,-0.000123,0.030800
1.558860,1.570796,-0.765104,-0.000131,0.031200
1.558552,1.570796,-0.774909,-0.000139,0.031600
1.558240,1.570796,-0.784713,-0.000148,0.032000
1.557924,1.570795,-0.794518,-0.000158,0.032400
1.557604,1.570795,-0.804322,-0.000168,0.032800
1.557281,1.570795,-0.814126,-0.000178,0.033200
1.556953,1.570795,-0.823929,-0.000189,0.033600
1.556622,1.570795,-0.833733,-0.000201,0.034000
1.556286,1.570795,-0.843536,-0.000213,0.034400
