theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.570747,1.570796,-0.049050,-0.000000,0.002000
1.570600,1.570796,-0.098100,-0.000000,0.004000
1.570355,1.570796,-0.147150,-0.000000,0.006000
1.570012,1.570796,-0.196200,-0.000000,0.008000
1.569570,1.570796,-0.245250,-0.000000,0.010000
1.569031,1.570796,-0.294299,-0.000001,0.012000
1.568393,1.570796,-0.343349,-0.000002,0.014000
1.567657,1.570796,-0.392397,-0.000005,0.016000
1.566823,1.570796,-0.441445,-0.000008,0.018000
1.565891,1.570796,-0.490492,-0.000014,0.020000
1.564861,1.570796,-0.539537,-0.000023,0.022000
1.563733,1.570796,-0.588579,-0.000035,0.024000
1.562507,1.570796,-0.637619,-0.000053,0.026000
1.561183,1.570796,-0.686656,-0.000076,0.028000
1.559760,1.570796,-0.735687,-0.000108,0.030000
1.558240,1.570796,-0.784713,-0.000148,0.032000
1.556622,1.570795,-0.833733,-0.000201,0.034000
1.554905,1.570795,-0.882744,-0.000267,0.036000
1.553091,1.570794,-0.931746,-0.000350,0.038000
1.551178,1.570793,-0.980736,-0.000453,0.040000
1.549168,1.570792,-1.029713,-0.000578,0.042000
1.547059,1.570791,-1.078675,-0.000729,0.044000
1.544853,1.570789,-1.127619,-0.000910,0.046000
1.542549,1.570787,-1.176543,-0.001126,0.048000
1.540147,1.570785,-1.225445,-0.001381,0.050000
1.537647,1.570782,-1.274320,-0.001680,0.052000
1.535050,1.570778,-1.323167,-0.002028,0.054000
1.532354,1.570774,-1.371982,-0.002431,0.056000
1.529562,1.570768,-1.420760,-0.002897,0.058000
1.526671,1.570762,-1.469499,-0.003431,0.060000
1.523684,1.570755,-1.518194,-0.004040,0.062000
1.520599,1.570746,-1.566840,-0.004733,0.064000
1.517416,1.570736,-1.615432,-0.005517,0.066000
1.514137,1.570724,-1.663966,-0.006401,0.068000
1.510761,1.570710,-1.712437,-0.007395,0.070000
1.507287,1.570694,-1.760838,-0.008508,0.072000
1.503717,1.570676,-1.809164,-0.009750,0.074000
1.500051,1.570655,-1.857408,-0.011132,0.076000
1.496288,1.570631,-1.905564,-0.012665,0.078000
1.492428,1.570604,-1.953626,-0.014361,0.080000
1.488473,1.570574,-2.001585,-0.016231,0.082000
1.484422,1.570539,-2.049435,-0.018290,0.084000
1.480276,1.570500,-2.097168,-0.020550,0.086000
1.476034,1.570457,-2.144775,-0.023025,0.088000
1.471697,1.570408,-2.192249,-0.025729,0.090000
1.467265,1.570354,-2.239581,-0.028677,0.092000
1.462738,1.570293,-2.286761,-0.031885,0.094000
1.458118,1.570226,-2.333782,-0.035368,0.096000
